TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,2168,taskhostex.exe,0xa761fd78,0x29c,Key,0x20019,USER\\S-1-5-21-2150415697-633925282-3831303979-1001\\SOFTWARE\\MICROSOFT\\CTF\\TIP
0,2168,taskhostex.exe,0x86873f60,0x2a0,Event,0x1f0003,-
0,2168,taskhostex.exe,0x86874fb0,0x2a4,Event,0x1f0003,-
0,2168,taskhostex.exe,0xa761fc70,0x2a8,Key,0x20019,USER\\S-1-5-21-2150415697-633925282-3831303979-1001\\KEYBOARD LAYOUT
0,2168,taskhostex.exe,0x86873970,0x2ac,Event,0x1f0003,-
0,2168,taskhostex.exe,0xa761fb70,0x2b0,Key,0x20019,USER\\S-1-5-21-2150415697-633925282-3831303979-1001\\SOFTWARE\\MICROSOFT\\CTF\\ASSEMBLIES
0,2168,taskhostex.exe,0x868738e8,0x2b4,Event,0x1f0003,-
0,2168,taskhostex.exe,0xa761e520,0x2b8,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\KEYBOARD LAYOUTS
0,2168,taskhostex.exe,0x86873860,0x2bc,Event,0x1f0003,-
0,2168,taskhostex.exe,0xa761dfd0,0x2c0,Key,0x20019,USER\\S-1-5-21-2150415697-633925282-3831303979-1001\\SOFTWARE\\MICROSOFT\\CTF\\SORTORDER
0,2168,taskhostex.exe,0x867d2bc0,0x2c4,Thread,0x840,Tid 3700 Pid 2168
0,2168,taskhostex.exe,0xa76145a8,0x2c8,Key,0x20019,USER\\S-1-5-21-2150415697-633925282-3831303979-1001\\SOFTWARE\\MICROSOFT\\CTF\\DIRECTSWITCHHOTKEYS
0,2168,taskhostex.exe,0x86872a10,0x2cc,Event,0x1f0003,-
0,2168,taskhostex.exe,0xa761ebb0,0x2d0,Key,0x20019,USER\\S-1-5-21-2150415697-633925282-3831303979-1001\\CONTROL PANEL\\INPUT METHOD\\HOT KEYS
0,2168,taskhostex.exe,0x86238d00,0x2d4,Event,0x1f0003,-
0,2168,taskhostex.exe,0x86bb1a70,0x2d8,ALPC Port,0x1f0001,-
0,2168,taskhostex.exe,0x868966e0,0x2dc,Event,0x1f0003,-
0,2168,taskhostex.exe,0x86985e68,0x2e0,WaitCompletionPacket,0x1,-
0,2168,taskhostex.exe,0x868b1d90,0x2e4,EtwRegistration,0x804,-
0,2168,taskhostex.exe,0x868b1830,0x2e8,Event,0x1f0003,-
0,2168,taskhostex.exe,0xa77299f0,0x2ec,Section,0xf0007,-
